Serviço|Categoria|Descrição da requisição|Prioridade|Horário de atendimento|Tempo de solução|Público-alvo|Termo de Uso
Compartilhamento de arquivos|Gestão de área compartilhada|Gestão de área área de armazenamento privativa da unidade, em serviço interno ou em nuvem, que poderá ser compartilhada com usuários autorizados pelo responsável. Relação de usuários com acesso ao compartilhamento.|Alta|08:00 às 12:0014:00 às 18:00|4 Horas|Servidor|Termos de uso  A utilização dos serviços são exclusivos para atividades relacionadas à administração pública e atividades de educação, pesquisa e extensão na UNILA; Não é permitido o armazenamento e compartilhamento de informações em desacordo com as leis, políticas e normas vigentes, inclusive as relacionadas ao sigilo de informações, direitos de propriedade intelectual e industrial e informação pessoal relativa à intimidade, vida privada, honra e imagem; Cabe a quem produz, coleta, recepciona, distribui, transfere, modifica ou armazena a informação, assegurar que ela passe por processo de classificação e gestão de risco de segurança da informação, atendendo a legislação vigente; O serviço de compartilhamento de arquivos é normatizado pela Resolução CGD 04/2022;  Usuário é o único responsável pelos arquivos armazenados e pelas ações realizadas com sua credencial de acesso;  Área privativa do usuário Poderão ter acesso a uma área privativa de compartilhamento e armazenamento usuários com conta de correio eletrônico ativa, tais como: TAEs; Docentes; Discentes. Os limites individuais de espaço de armazenamento são: 5GB para discentes; 15GB para técnicos administrativos; e 25GB para docentes. Cabe ao usuário em sua área privativa, e aos responsáveis por áreas de compartilhamento das unidades, gerenciar a área de armazenamento disponível, promovendo a eliminação de arquivos desnecessários, sempre que o limite de espaço for atingido ou estiver comprometido. Área privativa da unidade Cada unidade administrativa poderá ter uma ou mais áreas privativas, as quais não serão acessíveis por outras unidades, salvo quando criadas para este fim. A solicitação de criação ou exclusão de áreas privativas deverá ser realizada ou autorizada pela chefia da unidade requisitante. É responsabilidade da chefia da unidade ou de servidor indicado e pertencente à unidade, realizar e revogar os compartilhamentos de arquivos e pastas com outros usuários ou unidades e os efeitos decorrentes deste; O compartilhamento de arquivos de forma pública ou com usuários externos, somente será possível em atendimento às necessidades da unidade administrativa ou acadêmica, mediante autorização do gestor; Cabe ao usuário autorizado, solicitar a revogação da autorização quando de sua movimentação interna ou quando cessada a necessidade; Com o encerramento do vínculo do usuário com a instituição, o acesso aos serviços será interrompido e o conteúdo de sua área privativa apagado, conforme os critérios e prazos estabelecidos na Resolução nº 4/2020/CGTIC. É de responsabilidade do usuário retirar os materiais da sua área privativa antes do término do vínculo com a instituição; Poderão ser realizadas varreduras automatizadas nos serviços, com finalidade única e exclusiva de encontrar conteúdos que violem direitos autorais, normas e a legislação vigente; Serão mantidos para fins de auditoria e/ou para subsidiar investigações administrativas, penais ou civis, a identificação do usuário, as operações realizadas e o endereço IP ou nome do equipamento que originou o acesso; Na ocorrência de infração, o usuário terá o acesso temporariamente bloqueado, sendo notificado por e-mail para que realize os ajustes necessários; O acesso será restabelecido somente após sanada a infração que deu causa ao bloqueio temporário; A depender da criticidade da infração cometida pelo usuário, o administrador do serviço poderá realizar as ações necessárias para a solução imediata da infração cometida, assegurado o direito de regresso contra o responsável nos casos de dolo ou culpa; O tratamento dos tickets será realizado conforme o Acordo de Nível de Serviços correspondente à requisição; A equipe de atendimento irá avaliar e, se necessário, recategorizar o ticket para solução; Tempo de solução é o tempo em que o usuário têm seu acionamento solucionado após ter sido atendido, podendo levar minutos, horas ou dias.
Compartilhamento de arquivos|Restauração de pastas ou arquivos|Recuperação de cópia de arquivos/pastas que foram excluídas.|Alta|08:00 às 12:0014:00 às 18:00|4 Horas|Servidor|Termos de uso  A utilização dos serviços são exclusivos para atividades relacionadas à administração pública e atividades de educação, pesquisa e extensão na UNILA; Não é permitido o armazenamento e compartilhamento de informações em desacordo com as leis, políticas e normas vigentes, inclusive as relacionadas ao sigilo de informações, direitos de propriedade intelectual e industrial e informação pessoal relativa à intimidade, vida privada, honra e imagem; Cabe a quem produz, coleta, recepciona, distribui, transfere, modifica ou armazena a informação, assegurar que ela passe por processo de classificação e gestão de risco de segurança da informação, atendendo a legislação vigente; O serviço de compartilhamento de arquivos é normatizado pela Resolução CGD 04/2022;  Usuário é o único responsável pelos arquivos armazenados e pelas ações realizadas com sua credencial de acesso;  Área privativa do usuário Poderão ter acesso a uma área privativa de compartilhamento e armazenamento usuários com conta de correio eletrônico ativa, tais como: TAEs; Docentes; Discentes. Os limites individuais de espaço de armazenamento são: 5GB para discentes; 15GB para técnicos administrativos; e 25GB para docentes. Cabe ao usuário em sua área privativa, e aos responsáveis por áreas de compartilhamento das unidades, gerenciar a área de armazenamento disponível, promovendo a eliminação de arquivos desnecessários, sempre que o limite de espaço for atingido ou estiver comprometido. Área privativa da unidade Cada unidade administrativa poderá ter uma ou mais áreas privativas, as quais não serão acessíveis por outras unidades, salvo quando criadas para este fim. A solicitação de criação ou exclusão de áreas privativas deverá ser realizada ou autorizada pela chefia da unidade requisitante. É responsabilidade da chefia da unidade ou de servidor indicado e pertencente à unidade, realizar e revogar os compartilhamentos de arquivos e pastas com outros usuários ou unidades e os efeitos decorrentes deste; O compartilhamento de arquivos de forma pública ou com usuários externos, somente será possível em atendimento às necessidades da unidade administrativa ou acadêmica, mediante autorização do gestor; Cabe ao usuário autorizado, solicitar a revogação da autorização quando de sua movimentação interna ou quando cessada a necessidade; Com o encerramento do vínculo do usuário com a instituição, o acesso aos serviços será interrompido e o conteúdo de sua área privativa apagado, conforme os critérios e prazos estabelecidos na Resolução nº 4/2020/CGTIC. É de responsabilidade do usuário retirar os materiais da sua área privativa antes do término do vínculo com a instituição; Poderão ser realizadas varreduras automatizadas nos serviços, com finalidade única e exclusiva de encontrar conteúdos que violem direitos autorais, normas e a legislação vigente; Serão mantidos para fins de auditoria e/ou para subsidiar investigações administrativas, penais ou civis, a identificação do usuário, as operações realizadas e o endereço IP ou nome do equipamento que originou o acesso; Na ocorrência de infração, o usuário terá o acesso temporariamente bloqueado, sendo notificado por e-mail para que realize os ajustes necessários; O acesso será restabelecido somente após sanada a infração que deu causa ao bloqueio temporário; A depender da criticidade da infração cometida pelo usuário, o administrador do serviço poderá realizar as ações necessárias para a solução imediata da infração cometida, assegurado o direito de regresso contra o responsável nos casos de dolo ou culpa; O tratamento dos tickets será realizado conforme o Acordo de Nível de Serviços correspondente à requisição; A equipe de atendimento irá avaliar e, se necessário, recategorizar o ticket para solução; Tempo de solução é o tempo em que o usuário têm seu acionamento solucionado após ter sido atendido, podendo levar minutos, horas ou dias.
Computadores|Configuração de computador para teletrabalho|Configuração de computador da UNILA para uso em teletrabalho.|Média|08:00 às 12:0014:00 às 18:00|8 Horas|Servidor|Termos de uso  O tratamento dos tickets será realizado conforme o Acordo de Nível de Serviços correspondente à requisição; A equipe de atendimento irá avaliar e, se necessário, recategorizar o ticket para solução; Tempo de solução é o tempo em que o usuário têm seu acionamento solucionado após ter sido atendido, podendo levar minutos, horas ou dias.
Computadores|Instalação de software - Computador|Instalação/atualização de software livre, ou que a UNILA possua licença.|Média|08:00 às 12:0014:00 às 18:00|24 horas|Servidor|Termos de uso  O tratamento dos tickets será realizado conforme o Acordo de Nível de Serviços correspondente à requisição; A equipe de atendimento irá avaliar e, se necessário, recategorizar o ticket para solução; Tempo de solução é o tempo em que o usuário têm seu acionamento solucionado após ter sido atendido, podendo levar minutos, horas ou dias.
Computadores|Instalação de software - Grupo de computadores|Instalação/atualização de software livre, ou que a UNILA possua licença.|Média|08:00 às 12:0014:00 às 18:00|5 dias|Servidor|Termos de uso  O tratamento dos tickets será realizado conforme o Acordo de Nível de Serviços correspondente à requisição; A equipe de atendimento irá avaliar e, se necessário, recategorizar o ticket para solução; Tempo de solução é o tempo em que o usuário têm seu acionamento solucionado após ter sido atendido, podendo levar minutos, horas ou dias.
Computadores|Solicitação de novo computador|Solicitação de novo computador para novo servidor, bolsista, estagiário ou docente, nos termos da Resolução 01/2022/CGD.|Média|08:00 às 12:0014:00 às 18:00|8 Horas|Servidor|Termos de uso  O tratamento dos tickets será realizado conforme o Acordo de Nível de Serviços correspondente à requisição; A equipe de atendimento irá avaliar e, se necessário, recategorizar o ticket para solução; Tempo de solução é o tempo em que o usuário têm seu acionamento solucionado após ter sido atendido, podendo levar minutos, horas ou dias.
Conferência Web|ConferenciaWeb|Requisitar a criação de comunidade virtual e permissão de gravação no ambiente ConferenciaWeb - RNP|Média|08:00 às 12:0014:00 às 18:00|4 Horas|Servidor|Termos de uso  O tratamento dos tickets será realizado conforme o Acordo de Nível de Serviços correspondente à requisição; A equipe de atendimento irá avaliar e, se necessário, recategorizar o ticket para solução; Tempo de solução é o tempo em que o usuário têm seu acionamento solucionado após ter sido atendido, podendo levar minutos, horas ou dias.
E-mail|Gestão de caixa organizacional ou individual|Requisitar a criação, desativação, desbloqueio, compartilhamento ou alteração de cota de caixa de correio organizacional ou individual|Alta|08:00 às 12:0014:00 às 18:00|4 Horas|Servidor|Termos de uso  O serviço de compartilhamento de arquivos é normatizado pela Resolução CGD 05/2020; As caixas de correio individuais serão disponibilizadas exclusivamente para: Servidores efetivos ou temporários, em exercício na instituição; Discentes devidamente matriculados; pós-doutorandos, registrados na Pró-reitoria de Pesquisa e Pós-Graduação (PRPPG), conforme Resolução Nº 1/2020/COSUP, de 04 de Junho de 2020; terceirizados, bolsistas e estagiários, em atividades acadêmicas ou administrativas, respeitada a vigência e os termos do contrato; As caixas de correio organizacionais serão disponibilizadas exlusivamente para: Macrounidades, unidades e subunidades administrativas e acadêmicas; Colegiados regimentais, estatutários e aqueles constituídos nos termos do Decreto 9759/2019; Eventos promovidos pela UNILA, serviços ou sistemas computacionais específicos da instituição. Caso ocorra a extinção da unidade organizacional a qual a caixa de correio esteja vinculada, caberá à unidade que assumir as atribuições, decidir sobre as ações a serem tomadas sobre a caixa de correio e seu conteúdo. O responsável pela caixa de correio manter atualizada a lista de usuários com acesso autorizado à conta. O servidor responsável ou gestor de contrato deve solicitar ou autorizar a criação de caixa de correio para: Pós-doutorandos; Terceirizados, bolsistas e estagiários, em atividades acadêmicas ou administrativas, respeitada a vigência e os termos do contrato; Macrounidades, unidades e subunidades administrativas e acadêmicas; Colegiados regimentais, estatutários e aqueles constituídos nos termos do Decreto 9759/2019; Eventos promovidos pela UNILA, serviços ou sistemas computacionais específicos da instituição. As caixas de correio serão disponibilizadas exclusivamente: No subdomínio aluno.unila.edu.br para discentes e pós-doutorandos com 256MB de cota, não sendo possível o aumento de cota para esses usuários; e No domínio unila.edu.br e com 2GB de cota, para os demais casos. O aumento de cota está condicionado aos limites técnicos e operacionais do serviço. O tratamento dos tickets será realizado conforme o Acordo de Nível de Serviços correspondente à requisição; Não são permitidos Tentar ou acessar sem autorização caixas de correio de terceiros; Compartilhar a senha de acesso com terceiros; Enviar informações sensíveis, classificadas ou proprietárias para pessoas ou organizações, em desacordo com a legislação vigente; Enviar comunicação ou material dissonante aos princípios da Administração Pública Federal; Transmitir a terceiros a listagem de e-mails da instituição; Enviar anúncios publicitários, mensagens de entretenimento e mensagens do tipo corrente ou qualquer tipo de programa de computador que não seja destinado ao desempenho de suas funções; Cadastrar endereços de correios institucionais em listas de e-mail ou sites externos, sem o consentimento do usuário e sem que a finalidade guarde relação com os interesses da administração. Realizar o redirecionamento automático de e-mails institucionais para contas pessoais, externas aos domínios pertencentes à instituição, salvo em situação de pessoas com deficiência visual, quando verificadas limitações aos softwares de leitura de tela. O acesso à caixa será suspenso quando: Detectado qualquer das irregularidades acima; Identificado comportamento anormal; ou Por determinação judicial ou administrativa, pelos respectivos órgãos de controle; A equipe de atendimento irá avaliar e, se necessário, recategorizar o ticket para solução; Tempo de solução é o tempo em que o usuário têm seu acionamento solucionado após ter sido atendido, podendo levar minutos, horas ou dias.
E-mail|Gestão de lista de e-mails|Requisitar a criação, desativação, atualização da relação de usuários de listas de e-mail|Média|08:00 às 12:0014:00 às 18:00|4 Horas|Servidor|Termos de uso  O serviço de compartilhamento de arquivos é normatizado pela Resolução CGD 05/2020; As caixas de correio individuais serão disponibilizadas exclusivamente para: Servidores efetivos ou temporários, em exercício na instituição; Discentes devidamente matriculados; pós-doutorandos, registrados na Pró-reitoria de Pesquisa e Pós-Graduação (PRPPG), conforme Resolução Nº 1/2020/COSUP, de 04 de Junho de 2020; terceirizados, bolsistas e estagiários, em atividades acadêmicas ou administrativas, respeitada a vigência e os termos do contrato; As caixas de correio organizacionais serão disponibilizadas exlusivamente para: Macrounidades, unidades e subunidades administrativas e acadêmicas; Colegiados regimentais, estatutários e aqueles constituídos nos termos do Decreto 9759/2019; Eventos promovidos pela UNILA, serviços ou sistemas computacionais específicos da instituição. Caso ocorra a extinção da unidade organizacional a qual a caixa de correio esteja vinculada, caberá à unidade que assumir as atribuições, decidir sobre as ações a serem tomadas sobre a caixa de correio e seu conteúdo. O responsável pela caixa de correio manter atualizada a lista de usuários com acesso autorizado à conta. O servidor responsável ou gestor de contrato deve solicitar ou autorizar a criação de caixa de correio para: Pós-doutorandos; Terceirizados, bolsistas e estagiários, em atividades acadêmicas ou administrativas, respeitada a vigência e os termos do contrato; Macrounidades, unidades e subunidades administrativas e acadêmicas; Colegiados regimentais, estatutários e aqueles constituídos nos termos do Decreto 9759/2019; Eventos promovidos pela UNILA, serviços ou sistemas computacionais específicos da instituição. As caixas de correio serão disponibilizadas exclusivamente: No subdomínio aluno.unila.edu.br para discentes e pós-doutorandos com 256MB de cota, não sendo possível o aumento de cota para esses usuários; e No domínio unila.edu.br e com 2GB de cota, para os demais casos. O aumento de cota está condicionado aos limites técnicos e operacionais do serviço. O tratamento dos tickets será realizado conforme o Acordo de Nível de Serviços correspondente à requisição; Não são permitidos Tentar ou acessar sem autorização caixas de correio de terceiros; Compartilhar a senha de acesso com terceiros; Enviar informações sensíveis, classificadas ou proprietárias para pessoas ou organizações, em desacordo com a legislação vigente; Enviar comunicação ou material dissonante aos princípios da Administração Pública Federal; Transmitir a terceiros a listagem de e-mails da instituição; Enviar anúncios publicitários, mensagens de entretenimento e mensagens do tipo corrente ou qualquer tipo de programa de computador que não seja destinado ao desempenho de suas funções; Cadastrar endereços de correios institucionais em listas de e-mail ou sites externos, sem o consentimento do usuário e sem que a finalidade guarde relação com os interesses da administração. Realizar o redirecionamento automático de e-mails institucionais para contas pessoais, externas aos domínios pertencentes à instituição, salvo em situação de pessoas com deficiência visual, quando verificadas limitações aos softwares de leitura de tela. O acesso à caixa será suspenso quando: Detectado qualquer das irregularidades acima; Identificado comportamento anormal; ou Por determinação judicial ou administrativa, pelos respectivos órgãos de controle; A equipe de atendimento irá avaliar e, se necessário, recategorizar o ticket para solução; Tempo de solução é o tempo em que o usuário têm seu acionamento solucionado após ter sido atendido, podendo levar minutos, horas ou dias.
E-mail|Restauração de backup|Restaurar emails apagados e que estejam dentro do período de retenção.|Alta|08:00 às 12:0014:00 às 18:00|4 Horas|Servidor|Termos de uso  O serviço de compartilhamento de arquivos é normatizado pela Resolução CGD 05/2020; As caixas de correio individuais serão disponibilizadas exclusivamente para: Servidores efetivos ou temporários, em exercício na instituição; Discentes devidamente matriculados; pós-doutorandos, registrados na Pró-reitoria de Pesquisa e Pós-Graduação (PRPPG), conforme Resolução Nº 1/2020/COSUP, de 04 de Junho de 2020; terceirizados, bolsistas e estagiários, em atividades acadêmicas ou administrativas, respeitada a vigência e os termos do contrato; As caixas de correio organizacionais serão disponibilizadas exlusivamente para: Macrounidades, unidades e subunidades administrativas e acadêmicas; Colegiados regimentais, estatutários e aqueles constituídos nos termos do Decreto 9759/2019; Eventos promovidos pela UNILA, serviços ou sistemas computacionais específicos da instituição. Caso ocorra a extinção da unidade organizacional a qual a caixa de correio esteja vinculada, caberá à unidade que assumir as atribuições, decidir sobre as ações a serem tomadas sobre a caixa de correio e seu conteúdo. O responsável pela caixa de correio manter atualizada a lista de usuários com acesso autorizado à conta. O servidor responsável ou gestor de contrato deve solicitar ou autorizar a criação de caixa de correio para: Pós-doutorandos; Terceirizados, bolsistas e estagiários, em atividades acadêmicas ou administrativas, respeitada a vigência e os termos do contrato; Macrounidades, unidades e subunidades administrativas e acadêmicas; Colegiados regimentais, estatutários e aqueles constituídos nos termos do Decreto 9759/2019; Eventos promovidos pela UNILA, serviços ou sistemas computacionais específicos da instituição. As caixas de correio serão disponibilizadas exclusivamente: No subdomínio aluno.unila.edu.br para discentes e pós-doutorandos com 256MB de cota, não sendo possível o aumento de cota para esses usuários; e No domínio unila.edu.br e com 2GB de cota, para os demais casos. O aumento de cota está condicionado aos limites técnicos e operacionais do serviço. O tratamento dos tickets será realizado conforme o Acordo de Nível de Serviços correspondente à requisição; Não são permitidos Tentar ou acessar sem autorização caixas de correio de terceiros; Compartilhar a senha de acesso com terceiros; Enviar informações sensíveis, classificadas ou proprietárias para pessoas ou organizações, em desacordo com a legislação vigente; Enviar comunicação ou material dissonante aos princípios da Administração Pública Federal; Transmitir a terceiros a listagem de e-mails da instituição; Enviar anúncios publicitários, mensagens de entretenimento e mensagens do tipo corrente ou qualquer tipo de programa de computador que não seja destinado ao desempenho de suas funções; Cadastrar endereços de correios institucionais em listas de e-mail ou sites externos, sem o consentimento do usuário e sem que a finalidade guarde relação com os interesses da administração. Realizar o redirecionamento automático de e-mails institucionais para contas pessoais, externas aos domínios pertencentes à instituição, salvo em situação de pessoas com deficiência visual, quando verificadas limitações aos softwares de leitura de tela. O acesso à caixa será suspenso quando: Detectado qualquer das irregularidades acima; Identificado comportamento anormal; ou Por determinação judicial ou administrativa, pelos respectivos órgãos de controle; A equipe de atendimento irá avaliar e, se necessário, recategorizar o ticket para solução; Tempo de solução é o tempo em que o usuário têm seu acionamento solucionado após ter sido atendido, podendo levar minutos, horas ou dias.
